"Incident.ID","Incident.Date","State","City.Or.County","Address","X..Victims.Injured","X..Victims.Killed","X..Subjects.Suspects.Injured","X..Subjects.Suspects.Killed","X..Subjects.Suspects.Arrested","Operations","event_type"
2566462,"April 7, 2023","California","Los Angeles","7111 Santa Monica Blvd",0,1,0,0,1,"N/A","accidental_death"
2565724,"April 6, 2023","Wisconsin","Trempealeau","N15811 Klein Ln",0,1,0,0,0,"N/A","accidental_death"
2566147,"April 6, 2023","Illinois","Calumet City","200 block of Paxton Ave",0,1,0,0,0,"N/A","accidental_death"
2566582,"April 6, 2023","Virginia","Newport News","1200 block of 26th St",0,1,0,0,0,"N/A","accidental_death"
2566051,"April 5, 2023","New Mexico","Farmington","5305 Valley View Ave",0,1,0,0,0,"N/A","accidental_death"
2565269,"April 5, 2023","Missouri","Kansas City","4500 block of Agnes Ave",0,1,0,0,0,"N/A","accidental_death"
2565880,"April 5, 2023","South Carolina","Laurens","7872 SC-252",0,1,0,0,0,"N/A","accidental_death"
2565479,"April 5, 2023","Texas","Houston","15300 block of Ella Blvd",0,1,0,0,0,"N/A","accidental_death"
2564007,"April 4, 2023","Texas","Arlington","5300 block of Pocassett Dr",0,1,0,0,0,"N/A","accidental_death"
2564407,"April 3, 2023","Louisiana","Lafayette","400 block of Breton Dr",0,1,0,0,0,"N/A","accidental_death"
2563734,"April 3, 2023","Virginia","Portsmouth","2500 block of Ash St",0,1,0,0,0,"N/A","accidental_death"
2564537,"April 3, 2023","Indiana","Terre Haute","1701 S 3rd St",0,1,0,0,0,"N/A","accidental_death"
2562052,"March 31, 2023","Indiana","Vincennes","409 E Locust St",0,1,0,0,1,"N/A","accidental_death"
2560748,"March 30, 2023","Ohio","Hamilton","900 block of Park Ave",0,1,0,0,0,"N/A","accidental_death"
2557515,"March 28, 2023","Indiana","Lafayette","2905 Westchester Ln W",0,1,0,0,0,"N/A","accidental_death"
2554052,"March 24, 2023","Georgia","Valdosta","1100 block of Slater St",0,1,0,1,0,"N/A","accidental_death"
2550909,"March 20, 2023","California","Menifee","7700 block of Watson Rd",0,1,0,0,1,"N/A","accidental_death"
2551480,"March 19, 2023","New York","Greenfield Center (Greenfield)","Howe Rd",0,1,0,0,0,"N/A","accidental_death"
2547898,"March 17, 2023","Florida","Orlando (Pine Hills)","4100 block of White Heron Dr",0,1,0,0,0,"N/A","accidental_death"
2547230,"March 16, 2023","Pennsylvania","Long Pond","Shannon Dr",0,1,0,0,1,"N/A","accidental_death"
2548664,"March 16, 2023","Kansas","Topeka","1300 block of SW Garfield Ave",0,1,0,0,1,"N/A","accidental_death"
2547347,"March 14, 2023","Connecticut","Hartford","200 block of Barbour St",0,1,0,0,0,"N/A","accidental_death"
2544687,"March 12, 2023","Texas","Houston","9955 Bammel North Houston Rd",0,1,0,0,0,"N/A","accidental_death"
2543932,"March 11, 2023","Ohio","Cleveland","3191 W 30th St",0,1,0,0,2,"N/A","accidental_death"
2543883,"March 10, 2023","Virginia","Richmond","1600 block of Stockton St",0,1,0,0,1,"N/A","accidental_death"
2546655,"March 10, 2023","New Mexico","Portales","South Roosevelt Rd 3",0,1,0,0,1,"N/A","accidental_death"
2542309,"March 8, 2023","Wisconsin","Hartland","WI-83 and Oakwood Rd",0,1,0,0,1,"N/A","accidental_death"
2541555,"March 7, 2023","Tennessee","Memphis","800 block of E Gage Ave",0,1,0,0,1,"N/A","accidental_death"
2572279,"March 7, 2023","Nevada","North Las Vegas","700 block of Agate Ridge Dr",0,1,0,0,1,"N/A","accidental_death"
2539789,"March 6, 2023","Indiana","Indianapolis","6000 block of Oak Ave",0,1,0,0,1,"N/A","accidental_death"
2540776,"March 5, 2023","Missouri","Park Hills (Desloge)","1208 N Desloge Dr",0,1,0,0,1,"N/A","accidental_death"
2539682,"March 4, 2023","Alabama","Russellville","Gravel Hill Rd",0,1,0,0,0,"N/A","accidental_death"
2538785,"March 3, 2023","Missouri","Rogersville","Timber Meadows Dr",0,1,0,0,1,"N/A","accidental_death"
2536856,"February 28, 2023","Virginia","Virginia Beach","5000 block of Finespun Last",0,1,0,0,1,"N/A","accidental_death"
2536595,"February 28, 2023","Tennessee","Memphis","Giacosa Pl",0,1,0,0,0,"N/A","accidental_death"
2535982,"February 28, 2023","Illinois","Chicago","5546 W Le Moyne St",0,1,0,0,1,"N/A","accidental_death"
2535971,"February 27, 2023","Virginia","Portsmouth","100 block of Allard Rd",0,1,0,0,0,"N/A","accidental_death"
2534832,"February 26, 2023","Tennessee","Antioch","Bell Rd",0,1,0,0,0,"N/A","accidental_death"
2533531,"February 24, 2023","Virginia","Lynchburg","1400 block of Monroe St",0,1,0,0,0,"N/A","accidental_death"
2532767,"February 23, 2023","Florida","Opa Locka","14500 block of NW 17th Path",0,1,0,0,1,"N/A","accidental_death"
2533019,"February 23, 2023","Texas","Mercedes","6833 Vera Ln",0,0,0,1,1,"N/A","accidental_death"
2532028,"February 22, 2023","Louisiana","Raceland","2000 block of LA-182",0,1,0,0,0,"N/A","accidental_death"
2532193,"February 22, 2023","Washington","Reardan","S Laurel St and W Summit Ave",0,1,0,0,1,"N/A","accidental_death"
2531917,"February 22, 2023","West Virginia","Huntington","2700 block of Guyan Ave",0,1,0,0,0,"N/A","accidental_death"
2531870,"February 21, 2023","Pennsylvania","Allentown","600 block of N Front St",0,1,0,0,0,"N/A","accidental_death"
2530914,"February 21, 2023","Wisconsin","Milwaukee","900 block of S 29th St",0,1,0,0,0,"N/A","accidental_death"
2530778,"February 20, 2023","Mississippi","Calhoun City","County Road 361",0,1,0,0,0,"N/A","accidental_death"
2529371,"February 19, 2023","Tennessee","Nashville","500 block of Summer Pl",0,1,0,0,1,"N/A","accidental_death"
2529878,"February 19, 2023","Ohio","Cleveland","12000 block of McGowan Ave",0,1,0,0,0,"N/A","accidental_death"
2529973,"February 19, 2023","Indiana","Fort Wayne","4940 Bluffton Rd",0,1,0,0,2,"N/A","accidental_death"
2529625,"February 19, 2023","New Mexico","Albuquerque","5327 Montgomery Blvd NE",0,1,0,1,0,"N/A","accidental_death"
2527832,"February 17, 2023","Virginia","Alexandria","28 E Reed St",0,1,0,0,1,"N/A","accidental_death"
2526586,"February 15, 2023","Florida","Deland","2440 Nectarine Rd",0,1,0,0,0,"N/A","accidental_death"
2525283,"February 13, 2023","Louisiana","New Orleans","3000 block of St. Roch Ave",0,1,0,0,1,"N/A","accidental_death"
2524633,"February 13, 2023","Texas","Dalhart","2100 Spirit Trl",0,1,0,0,0,"N/A","accidental_death"
2523960,"February 12, 2023","North Carolina","Charlotte","9800 block of Coriander Ct",0,1,0,0,1,"N/A","accidental_death"
2523599,"February 12, 2023","South Carolina","Gaffney","125 Beltline Rd",0,1,0,0,0,"N/A","accidental_death"
2570201,"February 11, 2023","Georgia","Athens","1465 US-29 N",0,1,0,0,0,"N/A","accidental_death"
2523283,"February 11, 2023","Virginia","Virginia Beach","1008 Mineola Dr",0,1,0,0,1,"N/A","accidental_death"
2521751,"February 7, 2023","Indiana","Portage","100 block of Coral Ave",0,1,0,0,0,"N/A","accidental_death"
2518743,"February 5, 2023","Louisiana","Chalmette","400 block of E Solidelle St",0,1,0,0,1,"N/A","accidental_death"
2517432,"February 3, 2023","Texas","Wharton","N/A",0,1,0,0,0,"N/A","accidental_death"
2513961,"January 29, 2023","Louisiana","New Orleans","8000 block of Curran Blvd",0,1,0,0,1,"N/A","accidental_death"
